"C17002_001E","C17002_001M","C17002_002E","C17002_002M","C17002_003E","C17002_003M","C17002_004E","C17002_004M","C17002_005E","C17002_005M","C17002_006E","C17002_006M","C17002_007E","C17002_007M","C17002_008E","C17002_008M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under .50","Margin of Error!!Total:!!Under .50","Estimate!!Total:!!.50 to .99","Margin of Error!!Total:!!.50 to .99","Estimate!!Total:!!1.00 to 1.24","Margin of Error!!Total:!!1.00 to 1.24","Estimate!!Total:!!1.25 to 1.49","Margin of Error!!Total:!!1.25 to 1.49","Estimate!!Total:!!1.50 to 1.84","Margin of Error!!Total:!!1.50 to 1.84","Estimate!!Total:!!1.85 to 1.99","Margin of Error!!Total:!!1.85 to 1.99","Estimate!!Total:!!2.00 and over","Margin of Error!!Total:!!2.00 and over","id","Geographic Area Name"
"874","204","22","20","71","87","20","22","45","70","101","87","58","87","557","165","1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah"
"1803","306","15","12","162","158","43","67","25","25","206","121","43","38","1309","300","1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah"
"740","356","2","3","22","26","7","11","214","292","42","68","21","33","432","247","1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah"
"1921","366","89","109","53","40","149","132","0","12","37","30","141","146","1452","370","1500000US490039602001","Block Group 1, Census Tract 9602, Box Elder County, Utah"
"945","277","34","32","0","12","39","50","115","148","0","12","0","12","757","243","1500000US490039602002","Block Group 2, Census Tract 9602, Box Elder County, Utah"
"1959","143","56","42","93","62","0","12","136","98","220","106","114","104","1340","214","1500000US490039602003","Block Group 3, Census Tract 9602, Box Elder County, Utah"
"1607","442","23","19","29","23","387","462","46","72","47","40","11","16","1064","186","1500000US490039602004","Block Group 4, Census Tract 9602, Box Elder County, Utah"
"752","227","3","4","81","93","15","14","93","94","4","6","86","133","470","151","1500000US490039602005","Block Group 5, Census Tract 9602, Box Elder County, Utah"
"776","318","63","77","150","65","24","32","39","29","23","31","22","22","455","300","1500000US490039602006","Block Group 6, Census Tract 9602, Box Elder County, Utah"
"1480","325","20","28","43","45","126","140","279","324","7","12","36","58","969","289","1500000US490039603011","Block Group 1, Census Tract 9603.01, Box Elder County, Utah"
