"C17002_001E","C17002_001M","C17002_002E","C17002_002M","C17002_003E","C17002_003M","C17002_004E","C17002_004M","C17002_005E","C17002_005M","C17002_006E","C17002_006M","C17002_007E","C17002_007M","C17002_008E","C17002_008M","GEO_ID","NAME"
"469","168","0","12","0","12","0","12","100","97","0","12","0","12","369","147","1500000US490039603012","Block Group 2, Census Tract 9603.01, Box Elder County, Utah"
"913","386","51","69","165","228","0","12","117","122","35","51","16","23","529","323","1500000US490039603013","Block Group 3, Census Tract 9603.01, Box Elder County, Utah"
"834","284","15","24","0","12","0","12","204","232","0","12","0","12","615","206","1500000US490039603014","Block Group 4, Census Tract 9603.01, Box Elder County, Utah"
"1841","564","0","12","285","250","12","32","9","23","136","160","66","85","1333","659","1500000US490039603021","Block Group 1, Census Tract 9603.02, Box Elder County, Utah"
"938","409","0","12","38","48","50","70","0","12","0","12","0","12","850","409","1500000US490039603022","Block Group 2, Census Tract 9603.02, Box Elder County, Utah"
"1658","546","119","116","362","428","221","300","0","12","0","12","151","222","805","347","1500000US490039603023","Block Group 3, Census Tract 9603.02, Box Elder County, Utah"
"1149","342","17","28","24","33","0","12","0","12","58","77","47","86","1003","336","1500000US490039603024","Block Group 4, Census Tract 9603.02, Box Elder County, Utah"
"2035","363","99","111","10","13","7","10","41","56","70","87","109","108","1699","335","1500000US490039604001","Block Group 1, Census Tract 9604, Box Elder County, Utah"
"1859","304","30","25","39","34","48","40","131","145","233","135","119","97","1259","224","1500000US490039604002","Block Group 2, Census Tract 9604, Box Elder County, Utah"
"1219","300","56","58","11","11","40","55","258","221","106","72","49","56","699","163","1500000US490039604003","Block Group 3, Census Tract 9604, Box Elder County, Utah"
"1928","361","63","57","21","26","24","27","137","124","127","135","127","159","1429","391","1500000US490039605001","Block Group 1, Census Tract 9605, Box Elder County, Utah"
"1002","269","0","12","0","12","31","52","23","29","217","218","0","12","731","187","1500000US490039605002","Block Group 2, Census Tract 9605, Box Elder County, Utah"
"1648","461","118","163","90","82","13","20","27","23","216","144","69","75","1115","444","1500000US490039605003","Block Group 3, Census Tract 9605, Box Elder County, Utah"
"787","218","59","61","173","140","45","60","0","12","68","59","19","22","423","187","1500000US490039605004","Block Group 4, Census Tract 9605, Box Elder County, Utah"
"1143","326","6","11","14","21","0","12","41","66","99","96","0","12","983","301","1500000US490039606011","Block Group 1, Census Tract 9606.01, Box Elder County, Utah"
"965","279","58","68","75","93","50","74","18","27","48","48","0","12","716","254","1500000US490039606012","Block Group 2, Census Tract 9606.01, Box Elder County, Utah"
"774","283","0","12","153","218","10","16","90","95","23","25","14","21","484","186","1500000US490039606013","Block Group 3, Census Tract 9606.01, Box Elder County, Utah"
"761","245","72","51","64","60","21","34","145","132","0","12","0","12","459","210","1500000US490039606014","Block Group 4, Census Tract 9606.01, Box Elder County, Utah"
"744","187","0","12","5","7","0","12","0","12","0","12","0","12","739","187","1500000US490039606021","Block Group 1, Census Tract 9606.02, Box Elder County, Utah"
"958","184","9","15","0","12","88","118","19","24","20","22","22","31","800","161","1500000US490039606022","Block Group 2, Census Tract 9606.02, Box Elder County, Utah"
"856","191","6","9","6","9","0","12","10","11","57","70","5","7","772","194","1500000US490039606023","Block Group 3, Census Tract 9606.02, Box Elder County, Utah"
"955","246","47","72","10","16","43","51","33","36","121","132","52","83","649","224","1500000US490039607011","Block Group 1, Census Tract 9607.01, Box Elder County, Utah"
"2756","588","13","21","36","37","283","292","243","157","241","158","249","235","1691","496","1500000US490039607012","Block Group 2, Census Tract 9607.01, Box Elder County, Utah"
"1453","267","31","35","69","71","105","132","109","93","295","172","9","14","835","173","1500000US490039607013","Block Group 3, Census Tract 9607.01, Box Elder County, Utah"
"1736","309","156","148","110","73","76","69","253","163","159","169","29","33","953","284","1500000US490039607021","Block Group 1, Census Tract 9607.02, Box Elder County, Utah"
"957","242","74","85","118","88","21","30","46","71","0","12","17","27","681","228","1500000US490039607022","Block Group 2, Census Tract 9607.02, Box Elder County, Utah"
"1002","204","14","16","15","12","8","8","9","10","30","23","21","18","905","202","1500000US490039608011","Block Group 1, Census Tract 9608.01, Box Elder County, Utah"
"1496","228","27","26","75","65","0","12","159","100","43","39","62","50","1130","193","1500000US490039608012","Block Group 2, Census Tract 9608.01, Box Elder County, Utah"
"1879","293","3","4","86","47","40","46","2","5","25","24","53","41","1670","276","1500000US490039608013","Block Group 3, Census Tract 9608.01, Box Elder County, Utah"
"1887","312","23","36","11","18","63","97","158","203","44","54","0","12","1588","303","1500000US490039608021","Block Group 1, Census Tract 9608.02, Box Elder County, Utah"
"1329","340","43","70","0","12","27","45","0","12","36","55","0","12","1223","346","1500000US490039608022","Block Group 2, Census Tract 9608.02, Box Elder County, Utah"
"1772","297","23","22","0","12","0","12","77","86","151","119","68","79","1453","345","1500000US490039608023","Block Group 3, Census Tract 9608.02, Box Elder County, Utah"
"1178","230","7","11","9","16","16","25","8","13","16","22","7","10","1115","224","1500000US490111251021","Block Group 1, Census Tract 1251.02, Davis County, Utah"
"2743","484","25","40","49","77","0","12","64","81","53","75","0","12","2552","478","1500000US490111251022","Block Group 2, Census Tract 1251.02, Davis County, Utah"
"2699","625","14","22","90","77","26","44","7","14","309","480","34","43","2219","430","1500000US490111251031","Block Group 1, Census Tract 1251.03, Davis County, Utah"
"1900","401","37","30","50","66","34","53","0","12","127","145","0","12","1652","393","1500000US490111251032","Block Group 2, Census Tract 1251.03, Davis County, Utah"
"1719","322","34","51","0","12","40","63","0","12","0","12","165","180","1480","307","1500000US490111251033","Block Group 3, Census Tract 1251.03, Davis County, Utah"
"2687","485","16","26","0","12","50","80","65","102","63","72","0","12","2493","513","1500000US490111251041","Block Group 1, Census Tract 1251.04, Davis County, Utah"
"1455","343","98","50","23","36","0","12","0","12","0","12","0","12","1334","342","1500000US490111251042","Block Group 2, Census Tract 1251.04, Davis County, Utah"
"2329","421","24","26","71","93","55","70","63","69","26","31","0","12","2090","425","1500000US490111251043","Block Group 3, Census Tract 1251.04, Davis County, Utah"
"1057","294","0","12","74","73","74","71","107","72","103","95","40","31","659","247","1500000US490111252011","Block Group 1, Census Tract 1252.01, Davis County, Utah"
"2013","283","104","69","105","96","124","104","19","30","238","160","56","73","1367","264","1500000US490111252012","Block Group 2, Census Tract 1252.01, Davis County, Utah"
"1387","414","11","18","238","193","0","12","160","218","96","89","16","26","866","345","1500000US490111253011","Block Group 1, Census Tract 1253.01, Davis County, Utah"
"1768","426","96","53","42","68","24","26","25","38","114","103","8","13","1459","447","1500000US490111253012","Block Group 2, Census Tract 1253.01, Davis County, Utah"
"1151","471","100","93","45","69","5","8","177","193","128","170","256","324","440","103","1500000US490111253013","Block Group 3, Census Tract 1253.01, Davis County, Utah"
"949","245","0","12","31","36","0","12","12","18","0","12","52","68","854","259","1500000US490111253014","Block Group 4, Census Tract 1253.01, Davis County, Utah"
"1259","344","35","43","14","22","58","94","131","145","193","170","0","12","828","262","1500000US490111253041","Block Group 1, Census Tract 1253.04, Davis County, Utah"
"2629","502","16","23","0","12","20","31","90","131","95","110","177","144","2231","454","1500000US490111253042","Block Group 2, Census Tract 1253.04, Davis County, Utah"
"1118","425","0","12","9","17","117","176","213","222","104","81","12","28","663","261","1500000US490111253043","Block Group 3, Census Tract 1253.04, Davis County, Utah"
"1424","319","31","41","60","73","0","12","6","12","52","52","43","69","1232","319","1500000US490111253051","Block Group 1, Census Tract 1253.05, Davis County, Utah"
"2137","485","96","117","11","16","0","12","11","16","46","65","18","28","1955","481","1500000US490111253052","Block Group 2, Census Tract 1253.05, Davis County, Utah"
"1000","261","0","12","100","102","0","12","0","12","126","127","0","12","774","246","1500000US490111253053","Block Group 3, Census Tract 1253.05, Davis County, Utah"
"1795","401","35","42","0","12","32","37","0","12","86","79","68","80","1574","409","1500000US490111253054","Block Group 4, Census Tract 1253.05, Davis County, Utah"
"1749","476","0","12","0","12","129","144","212","228","0","12","0","12","1408","477","1500000US490111253061","Block Group 1, Census Tract 1253.06, Davis County, Utah"
"3292","1626","86","134","12","19","31","48","0","12","33","43","100","155","3030","1699","1500000US490111253062","Block Group 2, Census Tract 1253.06, Davis County, Utah"
"2018","535","0","12","3","20","13","23","0","12","0","12","57","90","1945","537","1500000US490111253071","Block Group 1, Census Tract 1253.07, Davis County, Utah"
"2411","541","0","12","175","235","0","12","58","75","0","12","179","270","1999","581","1500000US490111253072","Block Group 2, Census Tract 1253.07, Davis County, Utah"
"1183","359","14","27","0","12","163","248","56","94","109","177","138","166","703","228","1500000US490111253073","Block Group 3, Census Tract 1253.07, Davis County, Utah"
"1635","419","0","12","0","12","193","224","0","12","0","12","0","12","1442","365","1500000US490111253074","Block Group 4, Census Tract 1253.07, Davis County, Utah"
"1184","400","0","12","50","77","0","12","0","12","228","254","0","12","906","337","1500000US490111254071","Block Group 1, Census Tract 1254.07, Davis County, Utah"
"1879","472","0","12","82","115","0","12","0","12","0","12","0","12","1797","473","1500000US490111254072","Block Group 2, Census Tract 1254.07, Davis County, Utah"
"2311","540","16","27","21","32","0","12","394","427","36","55","0","12","1844","425","1500000US490111254073","Block Group 3, Census Tract 1254.07, Davis County, Utah"
"2184","727","50","80","0","12","0","12","15","30","297","216","88","144","1734","727","1500000US490111254074","Block Group 4, Census Tract 1254.07, Davis County, Utah"
"1743","637","0","12","0","12","27","42","0","12","0","12","0","12","1716","631","1500000US490111254081","Block Group 1, Census Tract 1254.08, Davis County, Utah"
"2003","371","0","12","17","28","0","12","17","28","68","117","0","12","1901","381","1500000US490111254082","Block Group 2, Census Tract 1254.08, Davis County, Utah"
"2617","554","0","12","45","74","0","12","93","141","180","206","70","114","2229","592","1500000US490111254083","Block Group 3, Census Tract 1254.08, Davis County, Utah"
"2473","493","134","220","0","12","0","12","0","12","295","388","0","12","2044","487","1500000US490111254091","Block Group 1, Census Tract 1254.09, Davis County, Utah"
"2590","575","0","12","32","40","12","33","13","22","120","190","17","27","2396","603","1500000US490111254092","Block Group 2, Census Tract 1254.09, Davis County, Utah"
"1736","458","0","12","0","12","0","12","0","12","0","12","0","12","1736","458","1500000US490111254101","Block Group 1, Census Tract 1254.10, Davis County, Utah"
"2223","496","0","12","0","12","30","43","0","12","90","131","24","35","2079","475","1500000US490111254102","Block Group 2, Census Tract 1254.10, Davis County, Utah"
"3399","1203","12","21","1092","1246","15","24","0","12","284","245","11","19","1985","530","1500000US490111254111","Block Group 1, Census Tract 1254.11, Davis County, Utah"
"2797","941","30","49","0","12","0","12","0","12","0","12","102","72","2665","946","1500000US490111254112","Block Group 2, Census Tract 1254.11, Davis County, Utah"
"962","316","62","109","0","12","75","104","67","124","37","50","36","49","685","228","1500000US490111254121","Block Group 1, Census Tract 1254.12, Davis County, Utah"
"1304","346","0","12","0","12","14","26","212","223","117","183","37","46","924","292","1500000US490111254122","Block Group 2, Census Tract 1254.12, Davis County, Utah"
"2549","473","0","12","32","39","0","12","39","60","111","143","78","102","2289","492","1500000US490111254131","Block Group 1, Census Tract 1254.13, Davis County, Utah"
"3413","828","39","54","0","12","0","12","0","12","29","63","0","12","3345","831","1500000US490111254132","Block Group 2, Census Tract 1254.13, Davis County, Utah"
"2372","386","0","12","18","33","109","162","0","12","107","142","17","27","2121","415","1500000US490111254141","Block Group 1, Census Tract 1254.14, Davis County, Utah"
"1228","273","27","79","0","12","0","12","0","12","0","12","0","12","1201","276","1500000US490111254142","Block Group 2, Census Tract 1254.14, Davis County, Utah"
"1106","350","111","162","110","157","16","28","0","12","21","29","24","34","824","353","1500000US490111254143","Block Group 3, Census Tract 1254.14, Davis County, Utah"
"3035","545","164","244","0","12","0","12","38","96","208","198","68","96","2557","535","1500000US490111254151","Block Group 1, Census Tract 1254.15, Davis County, Utah"
"3039","829","143","101","725","505","79","91","193","188","212","254","44","104","1643","806","1500000US490111254152","Block Group 2, Census Tract 1254.15, Davis County, Utah"
"3241","789","45","44","27","32","424","323","165","184","15","17","131","98","2434","788","1500000US490111255011","Block Group 1, Census Tract 1255.01, Davis County, Utah"
"1672","341","37","42","148","109","17","19","299","232","195","187","0","12","976","264","1500000US490111255012","Block Group 2, Census Tract 1255.01, Davis County, Utah"
"1286","386","0","12","12","16","0","12","0","12","99","115","7","12","1168","365","1500000US490111255013","Block Group 3, Census Tract 1255.01, Davis County, Utah"
"1907","641","15","17","49","55","31","44","147","202","250","221","130","131","1285","564","1500000US490111255021","Block Group 1, Census Tract 1255.02, Davis County, Utah"
"1587","354","5","11","40","65","289","276","0","12","109","99","152","163","992","341","1500000US490111255022","Block Group 2, Census Tract 1255.02, Davis County, Utah"
"2127","454","43","48","19","29","37","55","0","12","177","223","21","35","1830","397","1500000US490111255023","Block Group 3, Census Tract 1255.02, Davis County, Utah"
"2339","382","67","60","152","138","28","30","0","12","182","164","39","33","1871","461","1500000US490111255031","Block Group 1, Census Tract 1255.03, Davis County, Utah"
"3575","973","186","156","11","16","0","12","0","12","119","113","70","97","3189","966","1500000US490111255032","Block Group 2, Census Tract 1255.03, Davis County, Utah"
"301","127","0","12","73","49","60","92","0","12","0","12","0","12","168","65","1500000US490111256001","Block Group 1, Census Tract 1256, Davis County, Utah"
"1455","296","310","136","90","110","102","79","9","14","126","134","65","103","753","248","1500000US490111257011","Block Group 1, Census Tract 1257.01, Davis County, Utah"
"1485","418","10","16","337","262","155","178","92","134","88","108","0","12","803","382","1500000US490111257012","Block Group 2, Census Tract 1257.01, Davis County, Utah"
"1529","338","36","59","21","27","204","160","216","241","184","188","37","56","831","229","1500000US490111257013","Block Group 3, Census Tract 1257.01, Davis County, Utah"
"925","278","0","12","118","110","34","36","89","137","139","163","0","12","545","255","1500000US490111257021","Block Group 1, Census Tract 1257.02, Davis County, Utah"
"1685","545","85","69","300","228","10","16","85","88","18","49","52","63","1135","533","1500000US490111257022","Block Group 2, Census Tract 1257.02, Davis County, Utah"
"1404","533","19","22","0","12","9","16","87","150","158","147","0","12","1131","496","1500000US490111257023","Block Group 3, Census Tract 1257.02, Davis County, Utah"
"1061","395","8","21","0","12","0","12","110","116","200","287","0","12","743","389","1500000US490111258011","Block Group 1, Census Tract 1258.01, Davis County, Utah"
"1038","345","33","56","39","60","0","12","115","117","0","12","0","12","851","314","1500000US490111258012","Block Group 2, Census Tract 1258.01, Davis County, Utah"
"2657","958","587","885","144","117","318","341","130","170","366","411","154","188","958","430","1500000US490111258013","Block Group 3, Census Tract 1258.01, Davis County, Utah"
"1566","445","398","358","101","83","121","166","0","12","147","159","0","12","799","306","1500000US490111258014","Block Group 4, Census Tract 1258.01, Davis County, Utah"
"1087","341","0","12","18","28","34","39","274","227","95","115","0","12","666","292","1500000US490111258015","Block Group 5, Census Tract 1258.01, Davis County, Utah"
"2086","422","16","23","6","9","28","22","110","126","121","132","0","12","1805","405","1500000US490111258041","Block Group 1, Census Tract 1258.04, Davis County, Utah"
"918","314","13","21","0","12","0","12","0","12","13","20","26","40","866","328","1500000US490111258042","Block Group 2, Census Tract 1258.04, Davis County, Utah"
"2212","428","20","22","57","84","0","12","190","205","0","12","0","12","1945","415","1500000US490111258043","Block Group 3, Census Tract 1258.04, Davis County, Utah"
"1376","457","0","12","0","12","0","12","0","12","8","12","0","12","1368","458","1500000US490111258044","Block Group 4, Census Tract 1258.04, Davis County, Utah"
"1043","342","79","99","25","39","40","61","122","108","51","63","0","12","726","325","1500000US490111258051","Block Group 1, Census Tract 1258.05, Davis County, Utah"
"2511","562","0","12","0","12","14","24","194","241","24","30","100","117","2179","518","1500000US490111258052","Block Group 2, Census Tract 1258.05, Davis County, Utah"
"1059","409","26","41","0","12","0","12","0","12","0","12","0","12","1033","389","1500000US490111258053","Block Group 3, Census Tract 1258.05, Davis County, Utah"
"1496","499","18","29","31","58","0","12","0","12","0","12","97","148","1350","482","1500000US490111258054","Block Group 4, Census Tract 1258.05, Davis County, Utah"
"2090","458","85","94","96","147","12","19","14","23","228","179","76","95","1579","394","1500000US490111258071","Block Group 1, Census Tract 1258.07, Davis County, Utah"
"1528","500","37","58","277","223","201","257","14","21","524","281","69","107","406","282","1500000US490111258072","Block Group 2, Census Tract 1258.07, Davis County, Utah"
"1575","653","0","12","46","178","0","12","0","12","234","301","59","91","1236","688","1500000US490111258091","Block Group 1, Census Tract 1258.09, Davis County, Utah"
"1138","394","8","12","27","32","3","6","154","193","62","89","43","69","841","370","1500000US490111258092","Block Group 2, Census Tract 1258.09, Davis County, Utah"
"1626","305","8","20","11","19","0","12","0","12","0","12","0","12","1607","305","1500000US490111258093","Block Group 3, Census Tract 1258.09, Davis County, Utah"
"1093","303","15","26","38","47","379","312","0","12","87","128","0","12","574","249","1500000US490111258101","Block Group 1, Census Tract 1258.10, Davis County, Utah"
"1630","386","35","59","43","72","106","116","0","12","152","184","0","12","1294","333","1500000US490111258102","Block Group 2, Census Tract 1258.10, Davis County, Utah"
"2168","969","0","12","0","12","55","51","0","12","34","54","0","12","2079","969","1500000US490111259051","Block Group 1, Census Tract 1259.05, Davis County, Utah"
"1449","489","17","26","1","4","17","27","95","146","199","222","1","3","1119","368","1500000US490111259052","Block Group 2, Census Tract 1259.05, Davis County, Utah"
"1168","407","190","234","32","36","0","12","0","12","110","116","75","73","761","311","1500000US490111259053","Block Group 3, Census Tract 1259.05, Davis County, Utah"
"2072","621","169","183","77","76","129","125","0","12","40","64","0","12","1657","585","1500000US490111259054","Block Group 4, Census Tract 1259.05, Davis County, Utah"
"2939","607","15","25","0","12","150","198","13","22","164","197","0","12","2597","584","1500000US490111259061","Block Group 1, Census Tract 1259.06, Davis County, Utah"
"1126","396","69","90","160","240","160","179","0","12","2","4","46","64","689","258","1500000US490111259062","Block Group 2, Census Tract 1259.06, Davis County, Utah"
"831","246","19","30","40","48","33","55","0","12","17","27","0","12","722","240","1500000US490111259063","Block Group 3, Census Tract 1259.06, Davis County, Utah"
"2064","575","74","109","7","14","10","23","0","12","26","39","21","32","1926","596","1500000US490111259064","Block Group 4, Census Tract 1259.06, Davis County, Utah"
"2181","270","51","44","122","80","77","120","4","7","116","111","48","47","1763","282","1500000US490111259071","Block Group 1, Census Tract 1259.07, Davis County, Utah"
"1960","392","9","14","42","38","0","12","32","38","8","12","91","110","1778","374","1500000US490111259081","Block Group 1, Census Tract 1259.08, Davis County, Utah"
"1437","317","0","12","19","21","0","12","83","122","35","50","128","159","1172","283","1500000US490111259082","Block Group 2, Census Tract 1259.08, Davis County, Utah"
"1443","366","26","27","21","30","11","14","0","12","14","17","0","12","1371","370","1500000US490111259083","Block Group 3, Census Tract 1259.08, Davis County, Utah"
"1404","341","44","48","294","234","77","89","11","18","45","38","93","110","840","278","1500000US490111260011","Block Group 1, Census Tract 1260.01, Davis County, Utah"
"1697","358","23","38","0","12","33","40","84","108","42","66","73","87","1442","329","1500000US490111260012","Block Group 2, Census Tract 1260.01, Davis County, Utah"
"516","201","32","52","113","124","0","12","83","114","0","12","0","12","288","142","1500000US490111260013","Block Group 3, Census Tract 1260.01, Davis County, Utah"
"1750","484","5","9","0","12","13","22","0","12","258","204","109","123","1365","528","1500000US490111260014","Block Group 4, Census Tract 1260.01, Davis County, Utah"
"2222","675","429","608","66","68","60","91","113","127","49","69","0","12","1505","353","1500000US490111260021","Block Group 1, Census Tract 1260.02, Davis County, Utah"
"1957","448","0","12","204","226","73","118","12","19","122","129","51","82","1495","362","1500000US490111260022","Block Group 2, Census Tract 1260.02, Davis County, Utah"
"3608","545","0","12","65","62","0","12","224","339","134","201","0","12","3185","542","1500000US490111260023","Block Group 3, Census Tract 1260.02, Davis County, Utah"
"2631","630","125","165","223","202","85","72","273","300","411","494","0","12","1514","527","1500000US490111261011","Block Group 1, Census Tract 1261.01, Davis County, Utah"
"1838","567","0","12","0","12","0","12","0","12","148","178","0","12","1690","553","1500000US490111261012","Block Group 2, Census Tract 1261.01, Davis County, Utah"
"2417","1158","0","12","10","69","0","12","39","62","0","12","34","54","2334","1159","1500000US490111261013","Block Group 3, Census Tract 1261.01, Davis County, Utah"
"926","315","0","12","0","12","0","12","17","29","0","12","0","12","909","314","1500000US490111261014","Block Group 4, Census Tract 1261.01, Davis County, Utah"
"2540","415","110","116","0","12","28","35","0","12","135","158","0","12","2267","401","1500000US490111261051","Block Group 1, Census Tract 1261.05, Davis County, Utah"
"1206","337","0","12","234","335","0","12","0","12","0","12","0","12","972","226","1500000US490111261052","Block Group 2, Census Tract 1261.05, Davis County, Utah"
"1045","239","16","18","0","12","62","98","0","12","0","12","39","59","928","222","1500000US490111261053","Block Group 3, Census Tract 1261.05, Davis County, Utah"
"1195","310","0","12","0","12","0","12","28","33","0","12","0","12","1167","316","1500000US490111261054","Block Group 4, Census Tract 1261.05, Davis County, Utah"
"2661","644","0","12","0","12","11","28","0","12","0","12","75","122","2575","643","1500000US490111261061","Block Group 1, Census Tract 1261.06, Davis County, Utah"
"1635","529","0","12","0","12","0","12","0","12","0","12","0","12","1635","529","1500000US490111261062","Block Group 2, Census Tract 1261.06, Davis County, Utah"
"1503","355","120","171","0","12","0","12","0","12","19","30","0","12","1364","350","1500000US490111261071","Block Group 1, Census Tract 1261.07, Davis County, Utah"
"2080","347","42","72","35","40","0","12","0","12","0","12","0","12","2003","358","1500000US490111261072","Block Group 2, Census Tract 1261.07, Davis County, Utah"
"2738","571","0","12","0","12","0","12","0","12","0","12","0","12","2738","571","1500000US490111261081","Block Group 1, Census Tract 1261.08, Davis County, Utah"
"3579","861","0","12","0","12","109","177","0","12","105","170","0","12","3365","842","1500000US490111261082","Block Group 2, Census Tract 1261.08, Davis County, Utah"
"2096","376","39","49","0","12","18","29","31","39","14","28","189","267","1805","363","1500000US490111262031","Block Group 1, Census Tract 1262.03, Davis County, Utah"
"2148","422","32","35","9","13","12","19","0","12","0","12","0","12","2095","422","1500000US490111262032","Block Group 2, Census Tract 1262.03, Davis County, Utah"
"1546","311","4","8","29","34","0","12","0","12","78","114","0","12","1435","307","1500000US490111262041","Block Group 1, Census Tract 1262.04, Davis County, Utah"
"979","241","0","12","22","31","21","34","35","40","60","92","32","51","809","224","1500000US490111262042","Block Group 2, Census Tract 1262.04, Davis County, Utah"
"1946","359","17","26","62","63","110","88","74","112","17","27","18","29","1648","402","1500000US490111262043","Block Group 3, Census Tract 1262.04, Davis County, Utah"
"4609","748","30","38","47","57","49","59","40","49","114","109","369","358","3960","840","1500000US490111262051","Block Group 1, Census Tract 1262.05, Davis County, Utah"
"1943","654","302","476","0","12","0","12","0","12","14","25","0","12","1627","446","1500000US490111262052","Block Group 2, Census Tract 1262.05, Davis County, Utah"
"2973","471","33","53","0","12","0","12","0","12","0","12","0","12","2940","478","1500000US490111262061","Block Group 1, Census Tract 1262.06, Davis County, Utah"
"3986","852","0","12","86","136","0","12","66","104","0","12","122","193","3712","851","1500000US490111262062","Block Group 2, Census Tract 1262.06, Davis County, Utah"
"1939","463","47","47","36","40","19","29","0","12","10","17","62","82","1765","472","1500000US490111263031","Block Group 1, Census Tract 1263.03, Davis County, Utah"
"1670","421","39","45","20","27","34","52","0","12","0","12","141","179","1436","429","1500000US490111263032","Block Group 2, Census Tract 1263.03, Davis County, Utah"
"1357","246","0","12","0","12","0","12","0","12","23","38","0","12","1334","250","1500000US490111263033","Block Group 3, Census Tract 1263.03, Davis County, Utah"
"2741","573","24","28","44","51","39","48","87","118","64","47","56","102","2427","558","1500000US490111263041","Block Group 1, Census Tract 1263.04, Davis County, Utah"
"1879","416","15","20","45","70","223","279","25","39","25","29","0","12","1546","385","1500000US490111263042","Block Group 2, Census Tract 1263.04, Davis County, Utah"
"2647","463","9","16","9","15","0","12","26","41","127","145","0","12","2476","455","1500000US490111263043","Block Group 3, Census Tract 1263.04, Davis County, Utah"
"2924","377","8","12","22","25","21","18","37","59","81","80","36","40","2719","374","1500000US490111263051","Block Group 1, Census Tract 1263.05, Davis County, Utah"
"3187","556","69","79","0","12","0","12","74","118","16","26","123","181","2905","565","1500000US490111263061","Block Group 1, Census Tract 1263.06, Davis County, Utah"
"1586","389","0","12","146","162","14","23","105","143","41","68","64","108","1216","350","1500000US490111263062","Block Group 2, Census Tract 1263.06, Davis County, Utah"
"2397","423","21","26","19","30","91","148","30","34","130","165","0","12","2106","473","1500000US490111263063","Block Group 3, Census Tract 1263.06, Davis County, Utah"
"1812","478","0","12","0","12","0","12","0","12","9","14","0","12","1803","477","1500000US490111264021","Block Group 1, Census Tract 1264.02, Davis County, Utah"
"1641","277","0","12","32","50","0","12","28","43","30","46","9","13","1542","269","1500000US490111264022","Block Group 2, Census Tract 1264.02, Davis County, Utah"
"2144","428","111","99","0","12","173","216","12","20","32","50","0","12","1816","449","1500000US490111264041","Block Group 1, Census Tract 1264.04, Davis County, Utah"
"1260","363","45","61","34","39","57","77","69","106","0","12","0","12","1055","354","1500000US490111264042","Block Group 2, Census Tract 1264.04, Davis County, Utah"
"2405","575","0","12","0","12","0","12","0","12","0","12","23","45","2382","583","1500000US490111264043","Block Group 3, Census Tract 1264.04, Davis County, Utah"
"1980","415","29","36","43","57","0","12","0","12","52","61","0","12","1856","417","1500000US490111264044","Block Group 4, Census Tract 1264.04, Davis County, Utah"
"1853","372","13","22","27","29","16","25","0","12","94","112","0","12","1703","384","1500000US490111264051","Block Group 1, Census Tract 1264.05, Davis County, Utah"
"1677","310","88","76","11","21","0","12","0","12","32","35","0","12","1546","295","1500000US490111264052","Block Group 2, Census Tract 1264.05, Davis County, Utah"
