"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"874","204","852","203","851","203","0","12","0","12","0","12","0","12","0","12","1","5","0","12","1","5","22","23","22","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah"
"1803","306","1761","308","1704","307","2","4","17","17","0","12","0","12","0","12","38","38","0","12","38","38","42","35","14","13","0","12","2","3","0","12","0","12","23","29","3","4","0","12","3","4","1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah"
"740","356","727","354","718","355","9","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","19","13","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah"
"1922","366","1884","362","1861","369","3","9","0","12","20","26","0","12","0","12","0","12","0","12","0","12","38","27","30","25","0","12","0","12","0","12","0","12","3","9","5","9","5","9","0","12","1500000US490039602001","Block Group 1, Census Tract 9602, Box Elder County, Utah"
"945","277","892","269","892","269","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","53","69","0","12","0","12","0","12","0","12","0","12","53","69","0","12","0","12","0","12","1500000US490039602002","Block Group 2, Census Tract 9602, Box Elder County, Utah"
"1959","143","1687","173","1647","166","0","12","10","17","0","12","2","4","0","12","28","43","0","12","28","43","272","183","106","65","0","12","0","12","0","12","0","12","8","8","158","164","149","166","9","14","1500000US490039602003","Block Group 3, Census Tract 9602, Box Elder County, Utah"
"1607","442","1249","178","1215","173","11","18","5","8","0","12","6","9","0","12","12","17","0","12","12","17","358","392","353","394","0","12","0","12","0","12","0","12","0","12","5","8","5","8","0","12","1500000US490039602004","Block Group 4, Census Tract 9602, Box Elder County, Utah"
"752","227","703","224","690","225","7","13","0","12","0","12","2","3","0","12","4","6","0","12","4","6","49","54","33","48","0","12","0","12","14","22","0","12","2","5","0","12","0","12","0","12","1500000US490039602005","Block Group 5, Census Tract 9602, Box Elder County, Utah"
"776","318","632","303","611","296","0","12","8","19","8","11","0","12","0","12","5","13","0","12","5","13","144","84","81","55","0","12","0","12","0","12","0","12","10","17","53","77","53","77","0","12","1500000US490039602006","Block Group 6, Census Tract 9602, Box Elder County, Utah"
