"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"1480","325","1393","327","1380","325","0","12","0","12","13","16","0","12","0","12","0","12","0","12","0","12","87","91","87","91","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039603011","Block Group 1, Census Tract 9603.01, Box Elder County, Utah"
"469","168","241","104","228","99","0","12","0","12","13","22","0","12","0","12","0","12","0","12","0","12","228","165","228","165","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039603012","Block Group 2, Census Tract 9603.01, Box Elder County, Utah"
"913","386","857","401","802","402","0","12","0","12","0","12","0","12","0","12","55","80","0","12","55","80","56","62","56","62","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039603013","Block Group 3, Census Tract 9603.01, Box Elder County, Utah"
"834","284","759","270","724","239","0","12","0","12","0","12","0","12","0","12","35","53","0","12","35","53","75","108","33","53","0","12","0","12","0","12","0","12","42","84","0","12","0","12","0","12","1500000US490039603014","Block Group 4, Census Tract 9603.01, Box Elder County, Utah"
"1866","563","1476","598","1474","599","0","12","2","4","0","12","0","12","0","12","0","12","0","12","0","12","390","248","205","229","0","12","0","12","0","12","0","12","37","59","148","198","148","198","0","12","1500000US490039603021","Block Group 1, Census Tract 9603.02, Box Elder County, Utah"
"938","409","921","406","830","405","91","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","33","0","12","0","12","0","12","0","12","0","12","17","33","0","12","0","12","0","12","1500000US490039603022","Block Group 2, Census Tract 9603.02, Box Elder County, Utah"
"1658","546","1417","513","1407","509","0","12","0","12","10","17","0","12","0","12","0","12","0","12","0","12","241","323","241","323","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039603023","Block Group 3, Census Tract 9603.02, Box Elder County, Utah"
"1149","342","971","347","841","327","0","12","0","12","76","100","0","12","0","12","54","80","0","12","54","80","178","149","91","111","0","12","0","12","0","12","0","12","65","82","22","42","22","42","0","12","1500000US490039603024","Block Group 4, Census Tract 9603.02, Box Elder County, Utah"
"2035","363","1900","355","1645","305","0","12","207","221","23","30","0","12","25","36","0","12","0","12","0","12","135","105","101","91","0","12","0","12","34","47","0","12","0","12","0","12","0","12","0","12","1500000US490039604001","Block Group 1, Census Tract 9604, Box Elder County, Utah"
"1862","304","1717","260","1658","259","0","12","10","20","49","35","0","12","0","12","0","12","0","12","0","12","145","139","16","25","0","12","0","12","0","12","0","12","6","12","123","129","123","129","0","12","1500000US490039604002","Block Group 2, Census Tract 9604, Box Elder County, Utah"
"1219","300","945","221","909","202","6","12","0","12","3","6","0","12","0","12","27","44","0","12","27","44","274","212","58","52","0","12","0","12","0","12","0","12","216","211","0","12","0","12","0","12","1500000US490039604003","Block Group 3, Census Tract 9604, Box Elder County, Utah"
"1946","360","1831","363","1703","364","0","12","0","12","0","12","0","12","37","58","91","66","0","12","91","66","115","101","43","51","0","12","0","12","0","12","0","12","72","108","0","12","0","12","0","12","1500000US490039605001","Block Group 1, Census Tract 9605, Box Elder County, Utah"
"1201","320","1005","298","951","308","15","18","6","11","0","12","0","12","0","12","33","50","0","12","33","50","196","134","119","105","0","12","28","43","0","12","0","12","49","37","0","12","0","12","0","12","1500000US490039605002","Block Group 2, Census Tract 9605, Box Elder County, Utah"
"1648","461","1520","455","1499","454","0","12","0","12","21","32","0","12","0","12","0","12","0","12","0","12","128","116","78","92","0","12","0","12","0","12","0","12","24","44","26","41","26","41","0","12","1500000US490039605003","Block Group 3, Census Tract 9605, Box Elder County, Utah"
"787","218","744","216","695","205","0","12","49","77","0","12","0","12","0","12","0","12","0","12","0","12","43","55","31","49","0","12","0","12","0","12","0","12","12","23","0","12","0","12","0","12","1500000US490039605004","Block Group 4, Census Tract 9605, Box Elder County, Utah"
"1143","326","1076","307","1076","307","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","67","78","37","61","0","12","0","12","0","12","0","12","30","46","0","12","0","12","0","12","1500000US490039606011","Block Group 1, Census Tract 9606.01, Box Elder County, Utah"
"965","279","965","279","858","245","0","12","0","12","10","21","0","12","0","12","97","129","76","119","21","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039606012","Block Group 2, Census Tract 9606.01, Box Elder County, Utah"
"774","283","766","282","766","282","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","0","12","0","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039606013","Block Group 3, Census Tract 9606.01, Box Elder County, Utah"
"761","245","754","247","754","247","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","11","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039606014","Block Group 4, Census Tract 9606.01, Box Elder County, Utah"
"744","187","697","184","635","167","0","12","34","51","0","12","0","12","0","12","28","28","0","12","28","28","47","40","6","11","0","12","0","12","9","15","0","12","24","27","8","12","8","12","0","12","1500000US490039606021","Block Group 1, Census Tract 9606.02, Box Elder County, Utah"
"958","184","917","177","810","159","93","74","0","12","0","12","0","12","0","12","14","21","14","21","0","12","41","48","0","12","0","12","0","12","0","12","0","12","18","26","23","38","0","12","23","38","1500000US490039606022","Block Group 2, Census Tract 9606.02, Box Elder County, Utah"
"900","192","825","176","802","177","0","12","0","12","13","20","0","12","0","12","10","15","10","15","0","12","75","72","23","30","0","12","0","12","0","12","0","12","52","67","0","12","0","12","0","12","1500000US490039606023","Block Group 3, Census Tract 9606.02, Box Elder County, Utah"
"973","249","891","229","817","223","6","12","32","52","14","20","15","19","0","12","7","14","0","12","7","14","82","112","39","72","0","12","0","12","0","12","0","12","34","61","9","16","9","16","0","12","1500000US490039607011","Block Group 1, Census Tract 9607.01, Box Elder County, Utah"
"2779","588","2250","553","2188","553","0","12","0","12","0","12","6","9","0","12","56","63","0","12","56","63","529","280","460","257","0","12","0","12","0","12","0","12","19","31","50","66","50","66","0","12","1500000US490039607012","Block Group 2, Census Tract 9607.01, Box Elder County, Utah"
"1505","274","1307","277","1151","232","0","12","62","83","94","97","0","12","0","12","0","12","0","12","0","12","198","117","121","97","25","42","0","12","0","12","0","12","40","37","12","19","0","12","12","19","1500000US490039607013","Block Group 3, Census Tract 9607.01, Box Elder County, Utah"
"1736","309","1627","299","1605","297","0","12","15","27","0","12","0","12","0","12","7","11","0","12","7","11","109","67","45","37","0","12","0","12","0","12","0","12","48","56","16","18","16","18","0","12","1500000US490039607021","Block Group 1, Census Tract 9607.02, Box Elder County, Utah"
"957","242","816","220","694","202","0","12","0","12","0","12","50","36","0","12","72","57","0","12","72","57","141","117","18","27","0","12","0","12","0","12","0","12","81","92","42","64","42","64","0","12","1500000US490039607022","Block Group 2, Census Tract 9607.02, Box Elder County, Utah"
"1002","204","971","200","932","185","23","39","4","7","1","4","6","15","0","12","5","11","0","12","5","11","31","25","18","17","0","12","0","12","0","12","0","12","11","16","2","3","0","12","2","3","1500000US490039608011","Block Group 1, Census Tract 9608.01, Box Elder County, Utah"
"1496","228","1408","214","1382","214","0","12","8","15","15","15","0","12","0","12","3","5","0","12","3","5","88","58","55","44","0","12","0","12","0","12","0","12","33","35","0","12","0","12","0","12","1500000US490039608012","Block Group 2, Census Tract 9608.01, Box Elder County, Utah"
"1884","293","1815","297","1767","302","0","12","0","12","13","18","0","12","0","12","35","31","0","12","35","31","69","65","12","17","0","12","0","12","0","12","0","12","46","54","11","13","11","13","0","12","1500000US490039608013","Block Group 3, Census Tract 9608.01, Box Elder County, Utah"
"1887","312","1691","283","1691","283","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","196","172","52","56","0","12","0","12","0","12","0","12","18","23","126","156","126","156","0","12","1500000US490039608021","Block Group 1, Census Tract 9608.02, Box Elder County, Utah"
"1329","340","1088","282","1051","283","0","12","0","12","0","12","0","12","0","12","37","60","0","12","37","60","241","267","241","267","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039608022","Block Group 2, Census Tract 9608.02, Box Elder County, Utah"
"1777","297","1774","297","1743","296","0","12","0","12","0","12","0","12","0","12","31","48","0","12","31","48","3","7","3","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490039608023","Block Group 3, Census Tract 9608.02, Box Elder County, Utah"
"1178","230","1151","223","1117","224","0","12","0","12","17","24","0","12","9","16","8","13","0","12","8","13","27","30","26","30","0","12","0","12","0","12","0","12","0","12","1","2","1","2","0","12","1500000US490111251021","Block Group 1, Census Tract 1251.02, Davis County, Utah"
"2743","484","2692","483","2684","481","0","12","0","12","0","12","0","12","8","13","0","12","0","12","0","12","51","49","13","20","0","12","0","12","0","12","0","12","25","28","13","20","13","20","0","12","1500000US490111251022","Block Group 2, Census Tract 1251.02, Davis County, Utah"
"2716","626","2591","633","2298","638","53","87","10","16","77","78","0","12","0","12","153","130","0","12","153","130","125","69","90","57","0","12","0","12","0","12","0","12","35","43","0","12","0","12","0","12","1500000US490111251031","Block Group 1, Census Tract 1251.03, Davis County, Utah"
"1907","403","1750","401","1720","403","0","12","0","12","7","13","0","12","0","12","23","38","0","12","23","38","157","172","157","172","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111251032","Block Group 2, Census Tract 1251.03, Davis County, Utah"
"1719","322","1696","322","1616","332","11","17","2","4","0","12","0","12","0","12","67","76","37","57","30","50","23","28","0","12","0","12","0","12","11","19","0","12","12","18","0","12","0","12","0","12","1500000US490111251033","Block Group 3, Census Tract 1251.03, Davis County, Utah"
"2687","485","2568","487","2464","478","14","22","0","12","18","28","0","12","72","106","0","12","0","12","0","12","119","94","92","77","0","12","11","17","0","12","0","12","10","16","6","10","0","12","6","10","1500000US490111251041","Block Group 1, Census Tract 1251.04, Davis County, Utah"
"1455","343","1215","290","1149","293","24","49","0","12","42","64","0","12","0","12","0","12","0","12","0","12","240","175","198","168","0","12","0","12","0","12","0","12","42","65","0","12","0","12","0","12","1500000US490111251042","Block Group 2, Census Tract 1251.04, Davis County, Utah"
"2343","425","2211","413","2059","407","20","29","0","12","44","45","0","12","0","12","88","108","0","12","88","108","132","111","121","95","0","12","0","12","0","12","0","12","0","12","11","20","0","12","11","20","1500000US490111251043","Block Group 3, Census Tract 1251.04, Davis County, Utah"
"1057","294","916","291","814","275","5","8","0","12","41","42","0","12","2","4","54","58","7","11","47","58","141","69","98","50","0","12","0","12","0","12","0","12","6","10","37","46","0","12","37","46","1500000US490111252011","Block Group 1, Census Tract 1252.01, Davis County, Utah"
"2013","283","1801","259","1402","283","165","126","0","12","48","53","62","65","0","12","124","101","0","12","124","101","212","133","128","88","14","22","0","12","0","12","0","12","0","12","70","87","61","88","9","13","1500000US490111252012","Block Group 2, Census Tract 1252.01, Davis County, Utah"
"1387","414","1049","337","919","320","0","12","0","12","18","20","56","84","0","12","56","60","4","8","52","63","338","207","241","193","0","12","0","12","0","12","59","91","38","44","0","12","0","12","0","12","1500000US490111253011","Block Group 1, Census Tract 1253.01, Davis County, Utah"
"1787","426","1257","327","1193","325","0","12","0","12","0","12","11","18","0","12","53","71","0","12","53","71","530","411","319","335","0","12","0","12","0","12","0","12","169","251","42","68","42","68","0","12","1500000US490111253012","Block Group 2, Census Tract 1253.01, Davis County, Utah"
"1151","471","977","429","944","419","0","12","0","12","15","23","0","12","0","12","18","21","0","12","18","21","174","148","163","150","0","12","11","17","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111253013","Block Group 3, Census Tract 1253.01, Davis County, Utah"
"949","245","883","249","702","191","44","60","0","12","59","61","0","12","0","12","78","76","0","12","78","76","66","68","66","68","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111253014","Block Group 4, Census Tract 1253.01, Davis County, Utah"
"1259","344","1207","330","1149","313","0","12","0","12","0","12","0","12","0","12","58","74","0","12","58","74","52","63","45","61","0","12","0","12","0","12","0","12","7","15","0","12","0","12","0","12","1500000US490111253041","Block Group 1, Census Tract 1253.04, Davis County, Utah"
"2649","503","2166","411","1823","337","27","30","0","12","39","50","0","12","0","12","277","195","0","12","277","195","483","239","368","162","0","12","0","12","0","12","0","12","0","12","115","172","59","85","56","92","1500000US490111253042","Block Group 2, Census Tract 1253.04, Davis County, Utah"
"1124","425","833","335","813","337","0","12","0","12","0","12","0","12","0","12","20","33","0","12","20","33","291","218","178","149","0","12","113","155","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111253043","Block Group 3, Census Tract 1253.04, Davis County, Utah"
"1424","319","1170","264","1071","263","0","12","0","12","34","36","0","12","0","12","65","65","11","18","54","64","254","165","248","164","0","12","0","12","0","12","0","12","6","12","0","12","0","12","0","12","1500000US490111253051","Block Group 1, Census Tract 1253.05, Davis County, Utah"
"2137","485","1839","442","1612","389","41","66","8","14","8","12","21","32","0","12","149","154","0","12","149","154","298","154","154","149","32","50","0","12","9","14","0","12","80","81","23","33","23","33","0","12","1500000US490111253052","Block Group 2, Census Tract 1253.05, Davis County, Utah"
"1000","261","909","252","881","250","14","22","0","12","14","15","0","12","0","12","0","12","0","12","0","12","91","90","53","66","0","12","0","12","0","12","0","12","38","61","0","12","0","12","0","12","1500000US490111253053","Block Group 3, Census Tract 1253.05, Davis County, Utah"
"1795","401","1712","385","1593","368","24","39","9","15","47","50","0","12","0","12","39","47","0","12","39","47","83","68","72","66","0","12","0","12","0","12","0","12","11","16","0","12","0","12","0","12","1500000US490111253054","Block Group 4, Census Tract 1253.05, Davis County, Utah"
"1749","476","1317","397","1198","419","36","58","0","12","8","37","1","3","0","12","74","77","0","12","74","77","432","266","275","238","0","12","0","12","0","12","0","12","44","52","113","126","113","126","0","12","1500000US490111253061","Block Group 1, Census Tract 1253.06, Davis County, Utah"
"3292","1626","3244","1628","3056","1632","40","63","0","12","35","42","0","12","0","12","113","156","96","154","17","33","48","56","48","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111253062","Block Group 2, Census Tract 1253.06, Davis County, Utah"
"2018","535","1856","565","1796","559","0","12","0","12","26","35","0","12","15","25","19","30","0","12","19","30","162","176","133","170","0","12","0","12","0","12","0","12","0","12","29","48","29","48","0","12","1500000US490111253071","Block Group 1, Census Tract 1253.07, Davis County, Utah"
"2411","541","2186","486","1812","433","0","12","0","12","167","152","175","235","0","12","32","51","0","12","32","51","225","236","74","122","0","12","0","12","0","12","0","12","58","72","93","143","93","143","0","12","1500000US490111253072","Block Group 2, Census Tract 1253.07, Davis County, Utah"
"1183","359","841","288","732","239","109","177","0","12","0","12","0","12","0","12","0","12","0","12","0","12","342","296","303","261","0","12","0","12","0","12","0","12","30","45","9","16","0","12","9","16","1500000US490111253073","Block Group 3, Census Tract 1253.07, Davis County, Utah"
"1648","423","1323","360","1267","374","0","12","0","12","37","50","0","12","0","12","19","35","0","12","19","35","325","199","133","130","0","12","17","32","0","12","0","12","175","220","0","12","0","12","0","12","1500000US490111253074","Block Group 4, Census Tract 1253.07, Davis County, Utah"
"1184","400","1146","398","1146","398","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","38","38","0","12","0","12","0","12","0","12","0","12","0","12","38","38","38","38","0","12","1500000US490111254071","Block Group 1, Census Tract 1254.07, Davis County, Utah"
"1879","472","1835","452","1592","395","21","29","0","12","36","41","0","12","0","12","186","136","0","12","186","136","44","53","25","40","0","12","0","12","0","12","0","12","0","12","19","36","11","23","8","15","1500000US490111254072","Block Group 2, Census Tract 1254.07, Davis County, Utah"
"2311","540","2112","454","2058","456","39","66","0","12","15","23","0","12","0","12","0","12","0","12","0","12","199","179","199","179","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254073","Block Group 3, Census Tract 1254.07, Davis County, Utah"
"2184","727","2081","728","2066","726","0","12","0","12","15","24","0","12","0","12","0","12","0","12","0","12","103","103","21","29","0","12","0","12","0","12","0","12","27","34","55","69","55","69","0","12","1500000US490111254074","Block Group 4, Census Tract 1254.07, Davis County, Utah"
"1743","637","1743","637","1576","648","125","189","0","12","24","40","0","12","0","12","18","31","0","12","18","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254081","Block Group 1, Census Tract 1254.08, Davis County, Utah"
"2003","371","1942","379","1901","386","0","12","0","12","41","37","0","12","0","12","0","12","0","12","0","12","61","99","44","71","0","12","0","12","0","12","17","28","0","12","0","12","0","12","0","12","1500000US490111254082","Block Group 2, Census Tract 1254.08, Davis County, Utah"
"2617","554","2490","542","2339","533","31","49","0","12","63","108","0","12","0","12","57","66","0","12","57","66","127","125","127","125","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254083","Block Group 3, Census Tract 1254.08, Davis County, Utah"
"2473","493","2366","471","2350","468","16","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","107","169","107","169","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254091","Block Group 1, Census Tract 1254.09, Davis County, Utah"
"2590","575","2506","594","2244","632","169","222","0","12","44","57","9","15","0","12","40","62","0","12","40","62","84","84","47","74","0","12","0","12","0","12","0","12","14","22","23","27","14","23","9","15","1500000US490111254092","Block Group 2, Census Tract 1254.09, Davis County, Utah"
"1752","461","1681","442","1584","406","0","12","0","12","0","12","0","12","0","12","97","132","0","12","97","132","71","118","71","118","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254101","Block Group 1, Census Tract 1254.10, Davis County, Utah"
"2223","496","2110","479","1915","485","0","12","0","12","34","38","47","68","0","12","114","126","0","12","114","126","113","124","0","12","0","12","0","12","0","12","0","12","80","97","33","47","28","46","5","8","1500000US490111254102","Block Group 2, Census Tract 1254.10, Davis County, Utah"
"3487","1202","3179","1233","2917","1189","245","193","0","12","0","12","0","12","0","12","17","27","0","12","17","27","308","280","145","144","0","12","16","27","0","12","0","12","0","12","147","272","80","146","67","126","1500000US490111254111","Block Group 1, Census Tract 1254.11, Davis County, Utah"
"2797","941","2781","948","2515","954","183","169","0","12","0","12","0","12","0","12","83","108","0","12","83","108","16","24","0","12","0","12","0","12","0","12","0","12","16","24","0","12","0","12","0","12","1500000US490111254112","Block Group 2, Census Tract 1254.11, Davis County, Utah"
"962","316","945","304","859","301","0","12","0","12","37","37","12","23","16","30","21","38","0","12","21","38","17","31","17","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254121","Block Group 1, Census Tract 1254.12, Davis County, Utah"
"1321","355","1122","406","1039","370","41","56","0","12","0","12","0","12","0","12","42","64","0","12","42","64","199","137","199","137","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254122","Block Group 2, Census Tract 1254.12, Davis County, Utah"
"2549","473","2485","474","2160","463","0","12","0","12","107","109","45","52","0","12","173","150","0","12","173","150","64","80","26","38","0","12","0","12","0","12","0","12","22","36","16","27","16","27","0","12","1500000US490111254131","Block Group 1, Census Tract 1254.13, Davis County, Utah"
"3413","828","3288","836","3160","824","17","29","0","12","48","55","0","12","0","12","63","76","0","12","63","76","125","126","98","117","0","12","0","12","0","12","0","12","27","49","0","12","0","12","0","12","1500000US490111254132","Block Group 2, Census Tract 1254.13, Davis County, Utah"
"2395","389","2005","378","1800","419","0","12","0","12","56","65","0","12","0","12","149","163","20","34","129","163","390","153","145","116","0","12","0","12","0","12","0","12","162","108","83","79","63","73","20","33","1500000US490111254141","Block Group 1, Census Tract 1254.14, Davis County, Utah"
"1228","273","1162","270","1017","271","27","53","0","12","11","24","86","105","0","12","21","40","0","12","21","40","66","116","66","116","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490111254142","Block Group 2, Census Tract 1254.14, Davis County, Utah"
"1106","350","891","332","861","326","16","28","0","12","0","12","4","16","0","12","10","14","0","12","10","14","215","209","116","159","0","12","0","12","0","12","0","12","85","140","14","20","0","12","14","20","1500000US490111254143","Block Group 3, Census Tract 1254.14, Davis County, Utah"
"3078","574","2496","556","2347","541","0","12","0","12","96","153","0","12","0","12","53","61","0","12","53","61","582","558","168","158","0","12","0","12","0","12","0","12","31","78","383","501","33","54","350","496","1500000US490111254151","Block Group 1, Census Tract 1254.15, Davis County, Utah"
"3039","829","2590","752","2103","706","57","92","71","69","297","320","0","12","0","12","62","93","0","12","62","93","449","235","309","160","0","12","0","12","0","12","0","12","0","12","140","197","140","197","0","12","1500000US490111254152","Block Group 2, Census Tract 1254.15, Davis County, Utah"
"3241","789","2655","734","2495","735","0","12","0","12","66","59","0","12","0","12","94","96","0","12","94","96","586","235","473","239","0","12","0","12","0","12","0","12","77","140","36","42","36","42","0","12","1500000US490111255011","Block Group 1, Census Tract 1255.01, Davis County, Utah"
"1672","341","1574","334","1182","318","32","43","74","108","48","56","0","12","0","12","238","151","0","12","238","151","98","123","22","32","0","12","0","12","0","12","0","12","76","117","0","12","0","12","0","12","1500000US490111255012","Block Group 2, Census Tract 1255.01, Davis County, Utah"
"1295","387","1059","317","949","313","28","42","0","12","45","69","0","12","0","12","37","57","0","12","37","57","236","249","72","120","0","12","0","12","0","12","0","12","153","217","11","17","11","17","0","12","1500000US490111255013","Block Group 3, Census Tract 1255.01, Davis County, Utah"
"1926","649","1073","365","979","345","25","31","0","12","30","39","0","12","0","12","39","47","0","12","39","47","853","499","137","144","15","25","0","12","17","26","0","12","571","481","113","76","47","51","66","59","1500000US490111255021","Block Group 1, Census Tract 1255.02, Davis County, Utah"
